
----QMATRIX: [Sensed Threat] > ACTION == UTILITY------
eration Qty: 5000.0
Learning Rate: 0.1
Discount Factor: 0.9
Decay: 0.15
Max View Distance: 10.0

-----SIMULATION STEPS------
Steps | Exploration Rate | QMatrix Size | Crashes | Victories | Distance Moved | Speed
321 51.84951 11 9 2 200.33134 0.031108856
322 51.69951 11 9 2 200.9417 0.031108856
323 51.549507 11 9 2 201.5519 0.015563965
324 51.399506 11 9 2 201.85722 0.031108856
325 51.249504 11 9 2 202.46742 0.015563965
326 51.099503 11 9 2 202.77275 0.031108856
327 50.9495 11 9 2 203.3831 0.031108856
328 50.7995 11 9 2 203.99347 0.03206743
329 50.649498 11 9 2 204.63432 0.031109441
330 50.499496 11 9 2 205.24484 0.046672918
331 50.349495 11 9 2 206.19057 0.015566595
332 50.199493 11 9 2 206.4959 0.031109441
333 50.04949 11 9 2 207.10626 0.03198462
334 49.89949 11 9 2 207.74713 0.031879805
335 49.74949 11 9 2 208.38783 0.015572961
336 49.599487 11 9 2 208.69316 0.031114843
337 49.449486 11 9 2 209.30353 0.031776138
338 49.299484 11 9 2 209.94438 0.031120174
339 49.149483 11 9 2 210.55466 0.02335045
340 48.99948 11 9 2 211.01251 0.03166943
341 48.84948 11 9 2 211.65337 0.031108785
342 48.69948 11 9 2 212.27657 0.02334711
343 48.549477 11 9 2 212.73433 0.02334601
344 48.399475 11 9 2 213.1921 0.023344927
345 48.249474 11 9 2 213.64995 0.031106839
346 48.099472 11 9 2 214.29082 0.031106839
347 47.94947 11 9 2 214.9316 0.02334386
348 47.79947 11 9 2 215.38945 0.031553634
349 47.649467 11 9 2 216.03023 0.023368157
350 47.499466 11 9 2 216.48799 0.02336545
351 47.349464 11 9 2 216.946 0.046620112
352 47.199463 11 9 2 217.89189 0.03141116
353 47.04946 11 9 2 218.53275 0.031101177
354 46.89946 11 9 2 219.14326 0.046585713
355 46.74946 12 10 2 220.09166 0.031108864
356 46.599457 12 10 2 220.70201 0.031108864
357 46.449455 12 10 2 221.31236 0.031108864
358 46.299454 12 10 2 221.92256 0.015563976
359 46.149452 12 10 2 222.22789 0.031108864
360 45.99945 12 10 2 222.83824 0.031108864
361 45.84945 12 10 2 223.44844 0.015563976
362 45.699448 12 10 2 223.75378 0.032062806
363 45.549446 12 10 2 224.39465 0.031961568
364 45.399445 12 10 2 225.0355 0.031111434
365 45.249443 12 10 2 225.64586 0.031111434
366 45.09944 12 10 2 226.25621 0.031111434
367 44.94944 12 10 2 226.86656 0.031111434
368 44.79944 12 10 2 227.47691 0.031111434
369 44.649437 12 10 2 228.08727 0.031111434
370 44.499435 12 10 2 228.69762 0.031111434
371 44.349434 12 10 2 229.30782 0.015556132
372 44.199432 12 10 2 229.61307 0.023331746
373 44.04943 12 10 2 230.0709 0.031111194
374 43.89943 12 10 2 230.68126 0.031111194
375 43.749428 12 10 2 231.29178 0.04665414
376 43.599426 12 10 2 232.23782 0.04665414
377 43.449425 12 10 2 233.18362 0.023351626
378 43.299423 12 10 2 233.64139 0.023351213
379 43.14942 12 10 2 234.09915 0.023350816
380 42.99942 12 10 2 234.55684 0.0155744795
381 42.84942 12 10 2 234.86218 0.03188866
382 42.699417 12 10 2 235.5032 0.04665501
383 42.549416 12 10 2 236.44893 0.01560323
384 42.399414 12 10 2 236.75418 0.023362426
385 42.249413 12 10 2 237.21194 0.023361027
386 42.09941 12 10 2 237.66971 0.023361027
387 41.94941 12 10 2 238.12747 0.02336035
388 41.799408 12 10 2 238.58524 0.023359686
389 41.649406 12 11 2 239.04425 0.031108856
390 41.499405 12 11 2 239.65477 0.04667282
391 41.349403 12 11 2 240.60065 0.031108856
392 41.1994 12 11 2 241.21085 0.015563965
393 41.0494 12 11 2 241.51617 0.031108856
394 40.8994 12 11 2 242.12637 0.015563965
395 40.749397 12 11 2 242.4317 0.031108856
396 40.599396 12 11 2 243.04205 0.031108856
397 40.449394 12 11 2 243.6524 0.031108856
398 40.299393 12 11 2 244.26277 0.03206743
399 40.14939 12 11 2 244.90363 0.031109441
400 39.99939 12 11 2 245.51382 0.015566956
401 39.84939 12 11 2 245.81917 0.03198462
402 39.699387 12 11 2 246.46002 0.031111434
403 39.549385 12 11 2 247.07037 0.031111434
404 39.399384 12 11 2 247.68073 0.031111434
405 39.249382 12 11 2 248.29108 0.031111434
406 39.09938 12 11 2 248.90128 0.015556869
407 38.94938 12 11 2 249.2066 0.031111434
408 38.799377 12 11 2 249.81696 0.031111434
409 38.649376 12 11 2 250.4273 0.031111434
410 38.499374 12 11 2 251.06537 0.031092362
411 38.349373 12 11 2 251.70624 0.031092362
412 38.19937 12 11 2 252.34694 0.015575192
413 38.04937 12 11 2 252.65228 0.031092122
414 37.89937 12 11 2 253.29315 0.031092122
415 37.749367 12 11 2 253.93402 0.031092122
416 37.599365 12 11 2 254.57489 0.031092122
417 37.449364 12 11 2 255.21576 0.031092122
418 37.299362 12 11 2 255.85663 0.031092122
419 37.14936 12 11 2 256.47382 0.031092122
420 36.99936 12 11 2 257.08417 0.031092122
421 36.849358 12 11 2 257.69452 0.031092122
422 36.699356 12 12 2 258.30618 0.031108856
423 36.549355 12 12 2 258.91653 0.031108856
424 36.399353 12 12 2 259.52692 0.03206743
425 36.24935 12 12 2 260.15613 0.046672918
426 36.09935 12 12 2 261.0715 0.03110933
427 35.94935 12 12 2 261.68185 0.03110933
428 35.799347 12 12 2 262.2922 0.03110933
429 35.649345 12 12 2 262.90256 0.03110933
430 35.499344 12 12 2 263.5129 0.03110933
431 35.349342 12 12 2 264.12326 0.03110933
432 35.19934 12 12 2 264.7336 0.03110933
433 35.04934 12 12 2 265.34396 0.03110933
434 34.899338 12 12 2 265.9543 0.03110933
435 34.749336 12 12 2 266.56467 0.03110933
436 34.599335 12 12 2 267.17502 0.03110933
437 34.449333 12 12 2 267.7853 0.023327816
438 34.29933 12 12 2 268.2736 0.023327816
439 34.14933 12 12 2 268.76187 0.023327816
440 33.99933 12 12 2 269.25015 0.023327816
441 33.849327 12 12 2 269.73865 0.046653807
442 33.699326 12 12 2 270.65396 0.023347069
443 33.549324 12 12 2 271.14224 0.02334689
444 33.399323 12 12 2 271.63052 0.02334689
445 33.24932 12 12 2 272.1188 0.02334689
446 33.09932 12 12 2 272.60715 0.031128403
447 32.949318 12 12 2 273.21744 0.02334689
448 32.799316 12 12 2 273.70578 0.031128403
449 32.649315 12 12 2 274.31607 0.02334689
450 32.499313 12 12 2 274.80435 0.023346728
451 32.34931 12 12 2 275.2927 0.031128304
452 32.19931 12 12 2 275.90298 0.023346728
453 32.04931 12 12 2 276.39127 0.023346728
454 31.89931 12 12 2 276.87955 0.023346579
455 31.74931 12 13 2 277.3689 0.031108856
456 31.59931 12 13 2 277.97925 0.031108856
457 31.44931 12 13 2 278.58945 0.015563965
458 31.29931 12 13 2 278.89478 0.031108856
459 31.149311 12 13 2 279.50516 0.03206743
460 30.999311 12 13 2 280.1337 0.03110933
461 30.849312 12 13 2 280.74405 0.03110933
462 30.699312 12 13 2 281.3544 0.03198462
463 30.549313 12 13 2 281.96475 0.031110968
464 30.399313 12 13 2 282.5751 0.031110968
465 30.249313 12 13 2 283.18546 0.031110968
466 30.099314 12 13 2 283.7958 0.031110968
467 29.949314 12 13 2 284.40616 0.031110968
468 29.799314 12 13 2 285.0165 0.031110968
469 29.649315 12 13 2 285.62686 0.031110968
470 29.499315 12 13 2 286.2372 0.031110968
471 29.349316 12 13 2 286.84756 0.031110968
472 29.199316 12 13 2 287.45795 0.034444712
473 29.049316 12 13 2 288.12933 0.034005217
474 28.899317 12 13 2 288.80072 0.03351843
475 28.749317 12 13 2 289.4721 0.033027727
476 28.599318 12 13 2 290.14346 0.031112451
477 28.449318 12 13 2 290.7538 0.030855525
478 28.299318 12 13 2 291.3642 0.032220043
479 28.149319 12 13 2 292.0116 0.04641777
480 27.99932 12 13 2 292.92697 0.03148806
481 27.84932 12 13 2 293.53732 0.030836465
482 27.69932 12 13 2 294.14767 0.030186502
483 27.54932 12 13 2 294.75803 0.029461369
484 27.39932 13 13 2 295.36835 0.028740808
485 27.249321 13 13 2 295.9177 0.031124217
486 27.099321 13 13 2 296.52805 0.031124217
487 26.949322 13 13 2 297.13837 0.028032316
488 26.799322 14 13 2 297.6877 0.031097293
489 26.649323 14 13 2 298.29807 0.031097293
490 26.499323 14 13 2 298.90842 0.031097293
491 26.349323 14 13 2 299.51877 0.031097293
492 26.199324 14 13 2 300.12912 0.031097293
493 26.049324 14 13 2 300.73944 0.028153919
494 25.899324 14 13 2 301.28876 0.027862968
495 25.749325 14 13 2 301.8381 0.031108944
496 25.599325 14 13 4 302.44846 0.031108856
497 25.449326 14 13 4 303.0588 0.031108856
498 25.299326 14 13 4 303.66916 0.031108856
499 25.149326 14 13 4 304.27936 0.015563965
500 24.999327 14 13 4 304.58472 0.03206743
501 24.849327 14 13 4 305.2151 0.03110923
502 24.699327 14 13 4 305.82544 0.03110923
503 24.549328 14 13 4 306.4358 0.03110923
504 24.399328 14 13 4 307.04614 0.03110923
505 24.249329 14 13 4 307.6565 0.03110923
506 24.099329 14 13 4 308.26685 0.03110923
507 23.94933 14 13 4 308.87704 0.015565648
508 23.79933 14 13 4 309.18237 0.03110923
