
----QMATRIX: [Sensed Threat] > ACTION == UTILITY------
eration Qty: 1000.0
Learning Rate: 0.1
Discount Factor: 0.9
Decay: 0.15
Max View Distance: 10.0

-----SIMULATION STEPS------
Steps | Exploration Rate | QMatrix Size | Crashes | Victories | Distance Moved | Speed
217 67.44967 5 2 10 140.76006 0.031108856
218 67.29967 5 2 10 141.37057 0.04667282
219 67.149666 5 2 10 142.3165 0.034785025
220 66.999664 5 2 10 143.0182 0.015572483
221 66.84966 5 2 10 143.32358 0.03447866
222 66.69966 5 2 10 144.0159 0.015578975
223 66.54966 5 2 10 144.32108 0.015577726
224 66.39966 5 2 10 144.62625 0.0155765
225 66.24966 5 2 10 144.93175 0.046654873
226 66.099655 5 2 10 145.87766 0.034182165
227 65.94965 5 2 10 146.54903 0.031545494
228 65.79965 5 2 10 147.18991 0.033644084
229 65.64965 5 2 10 147.86127 0.031114988
230 65.49965 5 2 10 148.47162 0.031114988
231 65.34965 5 2 10 149.082 0.033259884
232 65.199646 5 2 10 149.75337 0.032845147
233 65.049644 5 2 10 150.39424 0.032408364
234 64.89964 5 2 10 151.03496 0.016139235
235 64.74964 5 2 10 151.3708 0.032064866
236 64.59964 5 2 10 152.01152 0.016297309
237 64.44964 5 2 10 152.34735 0.030421512
238 64.29964 5 2 10 152.95772 0.031463187
239 64.149635 5 2 10 153.58098 0.030956244
240 63.999634 5 2 10 154.1912 0.016852587
241 63.849632 5 2 10 154.52702 0.030597819
242 63.69963 5 2 10 155.13737 0.030075302
243 63.54963 5 2 10 155.74771 0.02950998
244 63.399628 5 2 10 156.32755 0.02894549
245 63.249626 6 3 10 156.95885 0.04667301
246 63.099625 6 3 10 157.90489 0.04667301
247 62.949623 6 3 10 158.85078 0.03194806
248 62.79962 6 3 10 159.49165 0.031852435
249 62.64962 6 3 10 160.13254 0.034215968
250 62.49962 6 3 10 160.80392 0.033878855
251 62.349617 6 3 10 161.47513 0.015680784
252 62.199615 6 3 10 161.78049 0.033577193
253 62.049614 6 3 10 162.45187 0.03320137
254 61.899612 6 3 10 163.1234 0.046570633
255 61.74961 6 3 10 164.06929 0.03277922
256 61.59961 6 3 10 164.71031 0.046519246
257 61.449608 6 3 10 165.6562 0.032310333
258 61.299606 6 3 10 166.29721 0.046451204
259 61.149605 6 3 10 167.2126 0.03178817
260 60.999603 6 3 10 167.85347 0.03131736
261 60.8496 7 4 10 168.52092 0.015570146
262 60.6996 7 4 10 168.8261 0.015570146
263 60.5496 7 4 10 169.13142 0.031110171
264 60.399597 7 4 10 169.74194 0.04667301
265 60.249596 7 4 10 170.68787 0.034512624
266 60.099594 7 4 10 171.38382 0.015575296
267 59.949593 7 4 10 171.68918 0.034207646
268 59.79959 7 4 10 172.36038 0.01561775
269 59.64959 7 4 10 172.66574 0.033904273
270 59.499588 8 4 10 173.33694 0.015678288
271 59.349586 8 4 10 173.6423 0.033577193
272 59.199585 8 4 10 174.31367 0.03122304
273 59.049583 8 4 10 174.92876 0.033010345
274 58.899582 9 4 10 175.60004 0.023454309
275 58.74958 9 4 10 176.05789 0.032655343
276 58.59958 9 4 10 176.69876 0.032245096
277 58.449577 9 4 10 177.33977 0.046452504
278 58.299576 9 4 10 178.2553 0.046434775
